x,y
0,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,0
5200,0
5300,0
5400,0
5500,0
5600,0
5700,0
5800,0
5900,0
6000,0
6100,0
6200,0
6300,0
6400,0
6500,0
6600,0
6700,0
6800,0
6900,0
7000,0
7100,0
7200,0
7300,0
7400,0
7500,0
7600,0
7700,0
7800,0
7900,0
8000,0
8100,0
8200,0
8300,0
8400,0
8500,0
8600,0
8700,0
8800,0
8900,0
9000,0
9100,0
9200,0
9300,0
9400,0
9500,0
9600,0
9700,0
9800,0
9900,0
10000,0
10100,0
10200,0
10300,0
10400,0
10500,0
10600,0
10700,0
10800,0
10900,0
11000,0
11100,0
11200,0
11300,0
11400,0
11500,0
11600,0
11700,0
11800,0
11900,0
12000,0
12100,0
12200,0
12300,0
12400,0
12500,0
12600,0
12700,0
12800,0
12900,0
13000,0
13100,0
13200,0
13300,0
13400,0
13500,0
13600,0
13700,0
13800,0
13900,0
14000,0
14100,0
14200,0
14300,0
14400,0
14500,0
14600,0
14700,0
14800,0
14900,0
15000,0
15100,0
15200,0
15300,0
15400,0
15500,0
15600,0
15700,0
15800,0
15900,0
16000,0
16100,0
16200,0
16300,0
16400,0
16500,0
16600,0
16700,0
16800,0
16900,0
17000,0
17100,0
17200,0
17300,0
17400,0
17500,0
17600,0
17700,0
17800,0
17900,0
18000,0
18100,0
18200,0
18300,0
18400,0
18500,0
18600,0
18700,0
18800,0
18900,0
19000,0
19100,0
19200,0
19300,0
19400,0
19500,0
19600,0
19700,0
19800,0
19900,0
20000,0
20100,0
20200,0
20300,0
20400,0
20500,0
20600,0
20700,0
20800,0
20900,0
21000,0
21100,0
21200,0
21300,0
21400,0
21500,0
21600,0
21700,0
21800,0
21900,0
22000,0
22100,0
22200,0
22300,0
22400,0
22500,0
22600,0
22700,0
22800,0
22900,0
23000,0
23100,0
23200,0
23300,0
23400,0
23500,0
23600,0
23700,0
23800,0
23900,0
24000,0
24100,0
24200,0
24300,0
24400,0
24500,0
24600,0
24700,0
24800,0
24900,0
25000,0
25100,0
25200,0
25300,0
25400,0
25500,0
25600,0
25700,0
25800,0
25900,0
26000,0
26100,0
26200,0
26300,0
26400,0
26500,0
26600,0
26700,1
26800,1
26900,1
27000,1
27100,1
27200,1
27300,1
27400,1
27500,1
27600,1
27700,1
27800,1
27900,1
28000,1
28100,1
28200,1
28300,1
28400,1
28500,1
28600,1
28700,1
28800,1
28900,1
29000,1
29100,1
29200,1
29300,1
29400,1
29500,1
29600,1
29700,1
29800,1
29900,1
30000,1
30100,1
30200,1
30300,1
30400,1
30500,1
30600,1
30700,1
30800,1
30900,1
31000,1
31100,1
31200,1
31300,1
31400,1
31500,1
31600,1
31700,1
31800,1
31900,1
32000,1
32100,1
32200,1
32300,1
32400,1
32500,1
32600,1
32700,1
32800,2
32900,2
33000,2
33100,2
33200,2
33300,2
33400,2
33500,2
33600,2
33700,2
33800,2
33900,2
34000,2
34100,2
34200,2
34300,2
34400,2
34500,2
34600,2
34700,2
34800,2
34900,2
35000,2
35100,2
35200,2
35300,2
35400,2
35500,2
35600,2
35700,2
35800,2
35900,3
36000,3
36100,3
36200,3
36300,3
36400,3
36500,3
36600,3
36700,3
36800,3
36900,3
37000,3
37100,3
37200,3
37300,3
37400,3
37500,3
37600,3
37700,3
37800,3
37900,3
38000,3
38100,3
38200,4
38300,4
38400,4
38500,4
38600,4
38700,4
38800,4
38900,4
39000,4
39100,4
39200,4
39300,4
39400,4
39500,4
39600,4
39700,4
39800,4
39900,4
40000,4
40100,5
40200,5
40300,5
40400,5
40500,5
40600,5
40700,5
40800,5
40900,5
41000,5
41100,5
41200,5
41300,5
41400,5
41500,5
41600,5
41700,5
41800,6
41900,6
42000,6
42100,6
42200,6
42300,6
42400,6
42500,6
42600,6
42700,6
42800,6
42900,6
43000,6
43100,6
43200,6
43300,6
43400,7
43500,7
43600,7
43700,7
43800,7
43900,7
44000,7
44100,7
44200,7
44300,7
44400,7
44500,7
44600,7
44700,7
44800,8
44900,8
45000,8
45100,8
45200,8
45300,8
45400,8
45500,8
45600,8
45700,8
45800,8
45900,8
46000,8
46100,8
46200,9
46300,9
46400,9
46500,9
46600,9
46700,9
46800,9
46900,9
47000,9
47100,9
47200,9
47300,9
47400,9
47500,10
47600,10
47700,10
47800,10
47900,10
48000,10
48100,10
48200,10
48300,10
48400,10
48500,10
48600,10
48700,10
48800,11
48900,11
49000,11
49100,11
49200,11
49300,11
49400,11
49500,11
49600,11
49700,11
49800,11
49900,11
50000,12
50100,12
50200,12
50300,12
50400,12
50500,12
50600,12
50700,12
50800,12
50900,12
51000,12
51100,12
51200,13
51300,13
51400,13
51500,13
51600,13
51700,13
51800,13
51900,13
52000,13
52100,13
52200,13
52300,14
52400,14
52500,14
52600,14
52700,14
52800,14
52900,14
53000,14
53100,14
53200,14
53300,14
53400,15
53500,15
53600,15
53700,15
53800,15
53900,15
54000,15
54100,15
54200,15
54300,15
54400,15
54500,16
54600,16
54700,16
54800,16
54900,16
55000,16
55100,16
55200,16
55300,16
55400,16
55500,16
55600,17
55700,17
55800,17
55900,17
56000,17
56100,17
56200,17
56300,17
56400,17
56500,17
56600,17
56700,18
56800,18
56900,18
57000,18
57100,18
57200,18
57300,18
57400,18
57500,18
57600,18
57700,19
57800,19
57900,19
58000,19
58100,19
58200,19
58300,19
58400,19
58500,19
58600,19
58700,20
58800,20
58900,20
59000,20
59100,20
59200,0
59300,0
59400,0
59500,0
59600,0
59700,0
59800,0
59900,0
