x,y

26600,0
26700,1
26800,1
26900,1
27000,1
27100,1
27200,1
27300,1
27400,1
27500,1
27600,1
27700,1
27800,1
27900,1
28000,1
28100,1
28200,1
28300,1
28400,1
28500,1
28600,1
28700,1
28800,1
28900,1
29000,1
29100,1
29200,1
29300,1
29400,1
29500,1
29600,1
29700,1
29800,1
29900,1
30000,1
30100,1
30200,1
30300,1
30400,1
30500,1
30600,1
30700,1
30800,1
30900,1
31000,1
31100,1
31200,1
31300,1
31400,1
31500,1
31600,1
31700,1
31800,1
31900,1
32000,1
32100,1
32200,1
32300,1
32400,1
32500,1
32600,1
32700,1
32800,2
32900,2
33000,2
33100,2
33200,2
33300,2
33400,2
33500,2
33600,2
33700,2
33800,2
33900,2
34000,2
34100,2
34200,2
34300,2
34400,2
34500,2
34600,2
34700,2
34800,2
34900,2
35000,2
35100,2
35200,2
35300,2
35400,2
35500,2
35600,2
35700,2
35800,2
35900,3
36000,3
36100,3
36200,3
36300,3
36400,3
36500,3
36600,3
36700,3
36800,3
36900,3
37000,3
37100,3
37200,3
37300,3
37400,3
37500,3
37600,3
37700,3
37800,3
37900,3
38000,3
38100,3
38200,4
38300,4
38400,4
38500,4
38600,4
38700,4
38800,4
38900,4
39000,4
39100,4
39200,4
39300,4
39400,4
39500,4
39600,4
39700,4
39800,4
39900,4
40000,4
40100,5
40200,5
40300,5
40400,5
40500,5
40600,5
40700,5
40800,5
40900,5
41000,5
41100,5
41200,5
41300,5
41400,5
41500,5
41600,5
41700,5
41800,6
41900,6
42000,6
42100,6
42200,6
42300,6
42400,6
42500,6
42600,6
42700,6
42800,6
42900,6
43000,6
43100,6
43200,6
43300,6
43400,7
43500,7
43600,7
43700,7
43800,7
43900,7
44000,7
44100,7
44200,7
44300,7
44400,7
44500,7
44600,7
44700,7
44800,8
44900,8
45000,8
45100,8
45200,8
45300,8
45400,8
45500,8
45600,8
45700,8
45800,8
45900,8
46000,8
46100,8
46200,9
46300,9
46400,9
46500,9
46600,9
46700,9
46800,9
46900,9
47000,9
47100,9
47200,9
47300,9
47400,9
47500,10
47600,10
47700,10
47800,10
47900,10
48000,10
48100,10
48200,10
48300,10
48400,10
48500,10
48600,10
48700,10
48800,11
48900,11
49000,11
49100,11
49200,11
49300,11
49400,11
49500,11
49600,11
49700,11
49800,11
49900,11
50000,12
50100,12
50200,12
50300,12
50400,12
50500,12
50600,12
50700,12
50800,12
50900,12
51000,12
51100,12
51200,13
51300,13
51400,13
51500,13
51600,13
51700,13
51800,13
51900,13
52000,13
52100,13
52200,13
52300,14
52400,14
52500,14
52600,14
52700,14
52800,14
52900,14
53000,14
53100,14
53200,14
53300,14
53400,15
53500,15
53600,15
53700,15
53800,15
53900,15
54000,15
54100,15
54200,15
54300,15
54400,15
54500,16
54600,16
54700,16
54800,16
54900,16
55000,16
55100,16
55200,16
55300,16
55400,16
55500,16
55600,17
55700,17
55800,17
55900,17
56000,17
56100,17
56200,17
56300,17
56400,17
56500,17
56600,17
56700,18
56800,18
56900,18
57000,18
57100,18
57200,18
57300,18
57400,18
57500,18
57600,18
57700,19
57800,19
57900,19
58000,19
58100,19
58200,19
58300,19
58400,19
58500,19
58600,19
58700,20
58800,20
58900,20
59000,20
59100,20

